peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
2.932372	1.0	1.0	0.0	1.693006	2.0	1.0	1.0	0.813294	4.0	3.0	1.0	2.0735	2.0	0.0	0.0	1.108332	3.0	2.0	1.0	1.311396	3.0	1.0	0.0	Im3m	8
2.920351	1.0	1.0	0.0	1.686065	2.0	1.0	1.0	0.80996	4.0	3.0	1.0	2.065	2.0	0.0	0.0	1.103789	3.0	2.0	1.0	1.306021	3.0	1.0	0.0	Im3m	8
2.97855	1.0	1.0	1.0	2.5795	2.0	0.0	0.0	0.777749	6.0	2.0	2.0	1.555497	3.0	1.0	1.0	1.823982	2.0	2.0	0.0	0.78674	5.0	3.0	3.0	Fm3m	4
2.972199	1.0	1.0	1.0	2.574	2.0	0.0	0.0	0.77609	6.0	2.0	2.0	1.55218	3.0	1.0	1.0	1.820093	2.0	2.0	0.0	0.785063	5.0	3.0	3.0	Fm3m	4
2.946796	1.0	1.0	1.0	2.552	2.0	0.0	0.0	0.778353	5.0	3.0	3.0	1.538914	3.0	1.0	1.0	1.804537	2.0	2.0	0.0	0.862733	5.0	3.0	1.0	Fm3m	4
2.914464	1.0	1.0	1.0	2.524	2.0	0.0	0.0	1.522029	3.0	1.0	1.0	1.784737	2.0	2.0	0.0	0.853268	5.0	3.0	1.0	0.798159	6.0	2.0	0.0	Fm3m	4
2.901185	1.0	1.0	1.0	2.5125	2.0	0.0	0.0	1.515095	3.0	1.0	1.0	1.776606	2.0	2.0	0.0	0.84938	5.0	3.0	1.0	0.794522	6.0	2.0	0.0	Fm3m	4
2.865389	1.0	1.0	1.0	2.4815	2.0	0.0	0.0	1.496401	3.0	1.0	1.0	1.754685	2.0	2.0	0.0	0.784719	6.0	2.0	0.0	0.8389	5.0	3.0	1.0	Fm3m	4
2.871163	1.0	1.0	1.0	2.4865	2.0	0.0	0.0	1.499416	3.0	1.0	1.0	1.758221	2.0	2.0	0.0	0.7863	6.0	2.0	0.0	0.84059	5.0	3.0	1.0	Fm3m	4
5.9177	0.0	0.0	2.0	3.071509	1.0	0.0	1.0	2.476057	1.0	0.0	3.0	2.801499	1.0	0.0	2.0	1.75376	1.0	1.0	2.0	1.898889	1.0	0.0	5.0	P6_3mmc	0
2.979705	1.0	1.0	1.0	2.5805	2.0	0.0	0.0	0.77805	6.0	2.0	2.0	1.5561	3.0	1.0	1.0	1.824689	2.0	2.0	0.0	0.787045	5.0	3.0	3.0	Fm3m	4
2.79967	1.0	0.0	1.0	2.96	0.0	0.0	2.0	3.177447	1.0	0.0	0.0	1.559312	1.0	1.0	2.0	0.779656	2.0	2.0	4.0	1.676357	1.0	0.0	3.0	P6_3mmc	0
2.801499	1.0	0.0	2.0	3.071509	1.0	0.0	1.0	2.95885	0.0	0.0	4.0	1.560217	1.0	1.0	4.0	0.780109	4.0	-2.0	8.0	1.83625	1.0	1.0	0.0	P6_3mmc	0
0.776305	4.0	2.0	2.0	2.195721	1.0	1.0	1.0	1.90155	2.0	0.0	0.0	1.146678	3.0	1.0	1.0	0.850399	4.0	2.0	0.0	0.872491	3.0	3.0	1.0	Fm3m	4
