peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_code
2.983671	2.0	2.0	-1.0	2.899434	3.0	1.0	0.0	2.525862	0.0	0.0	2.0	2.471486	2.0	2.0	1.0	6.361663	1.0	1.0	0.0	2.544282	1.0	3.0	-1.0	2
2.984801	2.0	2.0	-1.0	2.900813	3.0	1.0	0.0	2.474159	2.0	2.0	1.0	2.527175	0.0	0.0	2.0	6.367418	1.0	1.0	0.0	2.546814	1.0	3.0	-1.0	2
2.985341	2.0	2.0	-1.0	2.914266	3.0	1.0	0.0	2.484779	2.0	2.0	1.0	2.523795	0.0	0.0	2.0	2.551096	1.0	3.0	-1.0	2.122095	3.0	3.0	-1.0	2
2.991399	2.0	2.0	-1.0	2.908745	3.0	1.0	0.0	2.530116	0.0	0.0	2.0	2.479779	2.0	2.0	1.0	6.384465	1.0	1.0	0.0	2.552597	1.0	3.0	-1.0	2
8.541213	2.0	0.0	-2.0	7.804509	0.0	0.0	2.0	6.605761	1.0	1.0	-1.0	2.950132	0.0	2.0	3.0	3.331713	2.0	2.0	0.0	3.026817	6.0	0.0	0.0	2
2.80201	2.0	4.0	0.0	2.807179	4.0	0.0	0.0	2.968446	3.0	1.0	-2.0	2.630981	1.0	3.0	-2.0	2.642103	1.0	1.0	2.0	2.034475	5.0	3.0	-2.0	2
3.231956	2.0	6.0	1.0	3.076544	8.0	0.0	0.0	11.705	0.0	2.0	0.0	6.153088	4.0	0.0	0.0	2.654719	6.0	6.0	-1.0	3.181728	3.0	1.0	-2.0	2
6.117634	1.0	1.0	-1.0	5.813724	1.0	1.0	1.0	3.402039	1.0	1.0	3.0	6.088704	0.0	0.0	2.0	5.103137	2.0	0.0	0.0	2.672669	1.0	3.0	-2.0	2
6.114885	1.0	1.0	-1.0	5.810521	1.0	1.0	1.0	3.400501	1.0	1.0	3.0	5.099571	2.0	0.0	0.0	2.671564	1.0	3.0	-2.0	6.086617	0.0	0.0	2.0	2
6.111457	1.0	1.0	-1.0	5.807941	1.0	1.0	1.0	3.398185	1.0	1.0	3.0	6.081253	0.0	0.0	2.0	5.098671	2.0	0.0	0.0	2.66994	1.0	3.0	-2.0	2
2.919621	0.0	2.0	2.0	3.508226	3.0	1.0	-1.0	2.604197	3.0	1.0	-3.0	3.31648	2.0	2.0	0.0	2.289721	3.0	3.0	-1.0	3.182891	3.0	1.0	-2.0	2
2.941207	2.0	2.0	2.0	2.918601	4.0	0.0	-4.0	5.919432	0.0	0.0	4.0	2.959716	0.0	0.0	8.0	1.790533	6.0	2.0	-2.0	1.809421	2.0	2.0	10.0	2
3.426443	3.0	1.0	0.0	3.205567	2.0	0.0	-4.0	2.022203	5.0	1.0	-4.0	4.015818	1.0	1.0	2.0	4.040921	1.0	1.0	-2.0	2.899969	1.0	1.0	-4.0	2
3.429122	3.0	1.0	0.0	4.00985	1.0	1.0	2.0	2.897547	1.0	1.0	-4.0	3.205403	2.0	0.0	-4.0	2.107227	0.0	2.0	4.0	2.0265	5.0	1.0	-4.0	2
2.945464	0.0	2.0	2.0	3.33755	2.0	0.0	0.0	2.969289	1.0	1.0	-3.0	3.8705	0.0	2.0	0.0	0.770917	3.0	9.0	-5.0	2.527599	2.0	2.0	0.0	2
3.105826	2.0	0.0	2.0	6.90688	0.0	2.0	1.0	2.995148	1.0	5.0	-1.0	3.06791	1.0	5.0	0.0	3.073788	1.0	3.0	-3.0	4.921116	0.0	2.0	2.0	2
2.718307	2.0	4.0	0.0	6.2665	0.0	2.0	0.0	3.065411	1.0	1.0	-2.0	2.732962	4.0	0.0	0.0	5.465923	2.0	0.0	0.0	3.499053	3.0	1.0	0.0	2
5.483197	2.0	0.0	0.0	2.73804	2.0	4.0	0.0	3.075635	1.0	1.0	-2.0	6.3205	0.0	2.0	0.0	3.511588	3.0	1.0	0.0	2.741598	4.0	0.0	0.0	2
0.770317	5.0	15.0	1.0	5.504347	2.0	0.0	0.0	2.75773	2.0	4.0	0.0	3.094318	1.0	1.0	-2.0	6.373	0.0	2.0	0.0	0.770416	4.0	16.0	-1.0	2
5.533478	2.0	0.0	0.0	2.777432	2.0	4.0	0.0	3.109644	1.0	1.0	-2.0	6.4225	0.0	2.0	0.0	2.565786	1.0	3.0	-2.0	3.21125	0.0	4.0	0.0	2
5.533478	2.0	0.0	0.0	2.777432	2.0	4.0	0.0	3.109644	1.0	1.0	-2.0	6.4225	0.0	2.0	0.0	2.565786	1.0	3.0	-2.0	3.21125	0.0	4.0	0.0	2
2.734094	2.0	4.0	0.0	6.3145	0.0	2.0	0.0	2.7336	4.0	0.0	0.0	2.556	1.0	3.0	-2.0	3.1173	1.0	1.0	-2.0	2.905574	3.0	1.0	-2.0	2
2.726978	2.0	4.0	0.0	6.298	0.0	2.0	0.0	3.107557	1.0	1.0	-2.0	2.726572	4.0	0.0	0.0	2.54844	1.0	3.0	-2.0	2.897598	3.0	1.0	-2.0	2
2.718667	2.0	4.0	0.0	6.28	0.0	2.0	0.0	3.101215	1.0	1.0	-2.0	2.542557	1.0	3.0	-2.0	2.716712	4.0	0.0	0.0	2.887952	3.0	1.0	-2.0	2
2.712082	2.0	4.0	0.0	6.268	0.0	2.0	0.0	3.097434	1.0	1.0	-2.0	2.53888	1.0	3.0	-2.0	2.705985	4.0	0.0	0.0	2.880912	3.0	1.0	-2.0	2
2.70987	2.0	4.0	0.0	6.2695	0.0	2.0	0.0	3.104865	1.0	1.0	-2.0	2.543168	1.0	3.0	-2.0	2.695318	4.0	0.0	0.0	2.881991	3.0	1.0	-2.0	2
