names	peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	peak_7	peak_8
Iron	4.97001589411083	5.738880918220946	8.116000370089617	9.51685768586185	9.94003178822166	11.477761836441893	12.50759836600735	12.832522745646566
Iron	4.977157336404571	5.747126436781609	8.127662825533214	9.530535358762709	9.954319627230639	11.494252873563218	12.525567815302987	12.85095970967112
Iron	4.98145156509736	5.752085130859937	8.134677724405252	9.538753571070869	9.962908093169132	11.504170261719874	12.536371146789623	12.862050648183043
Iron	4.987187914248296	5.758710048949036	8.144045359075031	9.549739339864718	9.974375828496592	11.517420097898071	12.550815112687491	12.876873907075328
Iron	4.994378826630628	5.767012687427913	8.15578861174613	9.563511759772235	9.98876264202772	11.534025374855826	12.568909043832813	12.895438625449405
Iron	4.817944337325482	5.563282336578581	7.867672050252396	9.225662471757941	9.635888674650964	11.126564673157162	12.124886329190666	12.439884259316852
Iron	4.836780426130029	5.585032113934655	7.898426238571964	9.261729053673571	9.673556173373342	11.17006422786931	12.172291482560757	12.488510570275347
Iron	4.853042590787081	5.603810591202017	7.924985259527418	9.292868466881146	9.70608047117197	11.207621182404035	12.21321836623778	12.530496094870891
Iron	4.87215466167758	5.625879043600563	7.956196365291253	9.329463471885195	9.74430932335516	11.251758087201125	12.26131811622013	12.579850601694254
Iron	4.887277390623954	5.643340857787811	7.980890555653542	9.35842389168186	9.774550004154184	11.286681715575622	12.299381710081434	12.6189016003291
Iron	4.905269436639616	5.664117813650523	8.01027237329151	9.39287287591921	9.810538873279231	11.328235627301046	12.3446579110123	12.665346093247344
Iron	4.921996204156526	5.683432793407218	8.037590201856041	9.424910793219341	9.843992408313053	11.366865586814436	12.386754100634946	12.708547260545553
Iron	4.938839876390714	5.702879954376961	8.065088490150915	9.457159069415548	9.877674874355977	11.405759908753922	12.429138374840441	12.752027891235402
Iron	4.955796770703708	5.722460658082975	8.09278212854737	9.4896287847012	9.911588629425523	11.44492131616595	12.471813701035659	12.795807069939322
Iron	4.971444025517428	5.74052812858783	8.118332819172254	9.519584641482924	9.942888051034856	11.48105625717566	12.511197521781996	12.83621249579614
Iron	4.9843193313834675	5.755395683453237	8.13935884642495	9.544243294214661	9.968638662766935	11.510791366906474	12.543588971676575	12.869449728068528
Titanium	3.9142390230059405	4.2680324370465215	4.458171650308149	5.791145801361383	6.779661016949152	7.503834459408758	7.828481110266504	8.011234955902157
Titanium	3.887881279657244	4.237288135593221	4.427670460885073	5.750672684937321	6.7340067340067336	7.450737585767303	7.775759536191495	7.956221685796077
Titanium	3.9142390230059405	4.273504273504274	4.459481817131813	5.795179801248514	6.779661016949152	7.5108343785911185	7.828481110266504	8.014149782856613
Titanium	3.9142390230059405	4.2680324370465215	4.458171650308149	5.791145801361383	6.779661016949152	7.503834459408758	7.828481110266504	8.011234955902157
Zirconium	3.572712195881806	3.8857586943850784	4.066822778437055	5.278579682007802	6.188118811881188	6.836466257937137	7.145424391763612	7.3069770670524745
