   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   6    0    0   1.585859   136.642521     8.481593      136.906   58.12040    4.09744    2
   1    5   -3   1.579519   226.030074    10.864749      226.291   58.37615   22.16855    4
   5    5   -2   1.577499    28.097535    -2.738295      28.2307   58.45813    0.34393    4
   4    2   -3   1.564089   -10.688609     3.531262      11.2568   59.00860    0.05354    4
   1   11   -1   1.563319    -6.930821    -3.431757       7.7339   59.04056    0.02524    4
   2   10    1   1.563250    51.425252     0.769747       51.431   59.04341    1.11621    4
   6    2    0   1.562001   -45.009547    -4.475110      45.2315   59.09531    0.86163    4
   5    7   -1   1.557185   -50.524468    -4.414761       50.717   59.29630    1.07507    4
   4    0    2   1.556261   155.401912     9.382834      155.685   59.33504    5.05772    2
   1    3    3   1.553840    -3.294896    -2.250358      3.99004   59.43676    0.00662    4
   3    9    1   1.549166    22.962676     4.847015      23.4687   59.63420    0.22728    4
   6    4   -1   1.538396   -13.363158    -2.346062      13.5675   60.09450    0.07467    4
   4    2    2   1.533695   -47.561543    -4.507229      47.7746   60.29777    0.91883    4
   5    7    0   1.532022    46.616204     5.107573      46.8952   60.37047    0.88294    4
   6    0   -2   1.531992   224.636018    13.345768      225.032   60.37180   10.16506    2
   3    5   -3   1.530572    41.934639     4.191392      42.1436   60.43362    0.71141    4
   1   11    1   1.525087   -25.415369    -4.260280        25.77   60.67380    0.26366    4
   1    9    2   1.520137  -101.539530    -7.023063      101.782   60.89228    4.08020    4
   2    8    2   1.516830   -12.714082    -1.183022       12.769   61.03922    0.06387    4
   2    6   -3   1.513663   227.561045     9.908354      227.777   61.18059   20.22060    4
   3    9   -2   1.510958   -43.879715    -4.941120       44.157   61.30191    0.75660    4
   6    2   -2   1.510451   -15.406154    -3.839389      15.8774   61.32471    0.09774    4
   0   12    0   1.506500   232.668988     7.129708      232.778   61.50296   10.43669    2
   4    8   -2   1.503211    82.379298     2.909664      82.4307   61.65221    2.60347    4
   5    5    1   1.502744   115.196810     8.252488      115.492   61.67343    5.10678    4
   4    4   -3   1.498245    -6.729871    -2.396252      7.14375   61.87898    0.01940    4
   6    4    0   1.496409    13.929833     3.613502      14.3909   61.96327    0.07847    4
   2    0    3   1.489170   -27.019417    -3.923521      27.3028   62.29802    0.13956    2
   4    8    1   1.486810   -29.415633    -1.838236       29.473   62.40800    0.32399    4
   0    6    3   1.483164    56.905477     3.348355      57.0039   62.57868    1.20468    4
   0   10    2   1.475916    16.592441     2.211966      16.7392   62.92102    0.10264    4
   2   10   -2   1.471695    69.999555     3.760601      70.1005   63.12221    1.78753    4
   4    4    2   1.471466   100.020346     4.028362      100.101   63.13316    3.64356    4
   1    5    3   1.469419    42.490886     5.807188      42.8859   63.23126    0.66649    4
   2    2    3   1.469363   -67.699259     0.822434      67.7043   63.23399    1.66096    4
   3    7    2   1.466888    57.233203     5.305936      57.4786   63.35305    1.19220    4
   5    1   -3   1.462018   -11.688380     0.000582      11.6884   63.58870    0.04890    4
   3   11    0   1.459198   111.830049    10.898015       112.36   63.72602    4.49768    4
   1    7   -3   1.452088    95.253206     0.420989      95.2541   64.07511    3.19422    4
   6    4   -2   1.450901   -93.168139     0.735122       93.171   64.13378    3.04996    4
   5    7   -2   1.450518    -4.293642     3.569461      5.58358   64.15273    0.01095    4
   3   11   -1   1.448272   -58.386739    -4.514669       58.561   64.26417    1.19959    4
   0   12    1   1.445050    33.169924     2.752459      33.2839   64.42470    0.38542    4
   4   10   -1   1.444229    48.318391     0.527623      48.3213   64.46576    0.81122    4
   4   10    0   1.439325    57.664751     3.577901      57.7756   64.71210    1.15018    4
   6    6   -1   1.437796   290.567599    11.873174       290.81   64.78933   29.06543    4
   2   12    0   1.436216   -46.448123    -2.645823      46.5234   64.86934    0.74190    4
   5    3   -3   1.425208   -68.039702    -5.285177      68.2447   65.43265    1.56693    4
   6    0    1   1.416754   -19.430213    -3.889132      19.8156   65.87242    0.06511    2
   2    4    3   1.414369    -5.011829    -2.117555      5.44081   65.99765    0.00978    4
   3    7   -3   1.413785   -44.166780    -4.810129      44.4279   66.02840    0.65133    4
   2   12   -1   1.410976    28.616867     2.743329      28.7481   66.17669    0.27141    4
   4    6   -3   1.404856    40.558274     6.090106       41.013   66.50229    0.54666    4
   6    6    0   1.403342    17.626043    -0.949523      17.6516   66.58336    0.10100    4
   7    1   -1   1.400502     1.224950     0.242986      1.24882   66.73603    0.00050    4
   5    9   -1   1.399847    51.891481     5.326799      52.1642   66.77136    0.87681    4
   6    2    1   1.399666    62.722027     5.951217      63.0037   66.78110    1.27868    4
   1   11   -2   1.395367    21.601402     6.835420      22.6571   67.01397    0.16415    4
   5    7    1   1.391766    32.281328    -1.330801      32.3087   67.21037    0.33174    4
   2    8   -3   1.383915   -21.969747    -1.522433      22.0224   67.64289    0.15207    4
   4    6    2   1.382708     9.309379    -1.010794      9.36409   67.70996    0.02744    4
   5    9    0   1.381482     7.739418    -2.790923      8.22726   67.77820    0.02114    4
   1   13    0   1.375998     9.656744    -2.712490      10.0305   68.08522    0.03112    4
   7    3   -1   1.368045   -32.625468    -3.409594      32.8031   68.53587    0.32832    4
   5    1    2   1.365733   194.539840     6.335421      194.643   68.66810   11.51377    4
   6    6   -2   1.365602   -11.021257    -2.089074      11.2175   68.67559    0.03823    4
   1    7    3   1.365168   -35.678399    -3.504239      35.8501   68.70052    0.39021    4
   3   11    1   1.361995   -20.978856    -3.321713      21.2402   68.88306    0.13623    4
   0    8    3   1.360491    -5.173274    -0.691709      5.21931   68.96994    0.00820    4
   3    1    3   1.360355     0.686789     0.492873     0.845342   68.97779    0.00022    4
   5    5   -3   1.359226   126.158468    10.620142      126.605   69.04319    4.81696    4
   2   12    1   1.356015    18.912935     2.388847      19.0632   69.22999    0.10861    4
   7    1    0   1.355481    95.076364     5.382894      95.2286   69.26112    2.70774    4
   2   10    2   1.354831    46.293246     3.385953      46.4169   69.29912    0.64259    4
   6    4    1   1.351888    -0.564407    -2.471358      2.53499   69.47162    0.00191    4
   7    1   -2   1.346015   -37.014694    -0.407319      37.0169   69.81861    0.40252    4
   4   10   -2   1.345099    29.810742     2.246804      29.8953   69.87308    0.26212    4
   6    0   -3   1.342173   -27.028752    -4.251986      27.3612   70.04773    0.10923    2
   1   11    2   1.342142   159.086878    11.696382      159.516   70.04958    7.42496    4
   1   13   -1   1.341052    64.275629     4.834225      64.4572   70.11487    1.21007    4
   3   11   -2   1.335811   118.785336     8.881122      119.117   70.43063    4.09534    4
   5    3    2   1.335583   -96.121974    -1.470929      96.1332   70.44445    2.66637    4
   2    6    3   1.335011   136.909907    10.972274      137.349   70.47909    5.43745    4
   4   10    1   1.333310   -36.842114    -2.407894      36.9207   70.58241    0.39175    4
   3    9    2   1.333154     2.834437    -2.731384       3.9363   70.59190    0.00445    4
   3    3    3   1.330552     8.434983    -2.298251      8.74248   70.75061    0.02186    4
   6    2   -3   1.327617    49.854555     4.557874      50.0625   70.93063    0.71324    4
   7    3    0   1.325991   -43.119439    -1.043243      43.1321   71.03077    0.52795    4
   6    8   -1   1.325220   -44.121582    -1.989731      44.1664   71.07832    0.55284    4
   1    9   -3   1.322016   -57.580980     1.543817      57.6017   71.27686    0.93517    4
   5    9   -2   1.320831   -87.585904    -6.323011      87.8138   71.35057    2.16900    4
   2    0   -4   1.320569   -62.296991     4.843703       62.485   71.36690    0.54886    2
   7    3   -2   1.317125    61.911863     3.582367      62.0154   71.58219    1.07489    4
   1   13    1   1.316684   -43.691350     1.313768      43.7111   71.60987    0.53360    4
   7    5   -1   1.309373   168.193427     9.240817      168.447   72.07209    7.82533    4
   1    1   -4   1.307559   147.875226     5.549942      147.979   72.18782    6.02039    4
   2    2   -4   1.306697   -22.919850    -3.862006      23.2429   72.24291    0.14831    4
   3    1   -4   1.301703   -54.066614    -0.080898      54.0667   72.56409    0.79564    4
   4    8   -3   1.299294    -2.579430    -1.113906      2.80967   72.72010    0.00214    4
   6    8    0   1.298097    63.784189     1.121082       63.794   72.79796    1.10087    4
   0   12    2   1.297825  -145.613991    -3.251666       145.65   72.81563    5.73584    4
   2   12   -2   1.294952   226.988414     7.186284      227.102   73.00322   13.87656    4
