peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	codes
4.324669	4.005287	2.051201	2.24403	3.332688	2.4294700000000002	4
4.305821	2.580242	2.7407060000000003	1.990864	2.45069	2.1322609999999997	3
5.354444	3.1998930000000003	5.442509	5.431857	2.418161	2.483196	7
3.345146	3.4709630000000002	3.688965	3.655927	2.9717379999999998	3.148104	8
4.099187000000001	2.577372	2.560236	1.628852	2.14073	2.510229	3
5.788086	5.056	2.9114630000000004	4.8896999999999995	2.887449	2.466768	6
6.295101	4.571051	4.089455	1.9674140000000002	1.5815540000000001	4.396767	4
5.1946069999999995	4.45481	4.089345	4.503767	3.038029	2.732827	8
11.104358000000001	2.342641	6.638453	4.978681	3.9846639999999995	3.3989059999999998	5
5.085001999999999	3.67966	3.258396	4.262824	2.234281	2.51707	1
5.225863	4.053	2.930344	3.188994	2.504644	2.150414	4
5.395856	3.22464	4.92572	6.03275	1.544829	3.346367	7
7.198641	3.779429	4.915936	3.071748	3.6657070000000003	2.611646	0
6.012475	7.147079	5.811745999999999	3.343745	4.259192	3.477735	7
7.589609	4.559661999999999	5.917436	3.533559	4.695589	2.544714	5
7.008186	4.266489	2.866783	6.48133	4.39967	2.740072	4
4.103343000000001	3.5536	1.589218	1.630503	2.1429020000000003	2.512775	3
8.194444	4.979231	5.84667	4.11964	4.132175	3.2096929999999997	7
1.553172	4.010276	1.593522	3.473	2.094298	2.455782	3
5.812317999999999	7.660461	3.716609	3.9335199999999997	3.201832	3.345301	1
1.543733	2.93217	8.080333	7.597607999999999	1.9188360000000002	1.621148	4
6.64608	4.172218	5.004056	9.415076	4.634272	7.2679279999999995	5
6.874148	5.741768	5.628301	2.372751	2.655768	5.530003	6
4.9409279999999995	4.9	4.603767	3.319383	2.671768	2.560365	6
7.413941	11.716684	7.202186	1.564994	8.525219	8.750442	4
4.969723	5.072217	3.853349	3.016549	3.023644	3.414806	6
7.068568	5.0509889999999995	4.239261	2.683628	3.907833	3.377213	4
3.505032	2.969697	3.847082	3.161646	2.1837929999999997	2.011887	9
5.758732999999999	6.230217	6.302068	3.338541	3.491433	4.426066	9
5.591638	3.869872	3.618619	2.9873239999999996	1.831768	2.046899	3
5.381947	3.216328	5.464038	5.466185	2.437548	2.4893609999999997	7
4.401025	2.559057	2.829983	2.042363	1.901801	2.695066	3
5.218818	4.346938	5.8738410000000005	3.645757	2.508899	3.943628	8
4.781394000000001	3.4165039999999998	3.270076	4.104763	1.600238	2.949045	1
5.287361	3.159803	5.91145	4.069367	1.560317	4.0363940000000005	7
3.453587	2.704854	3.588265	5.123065	3.6803369999999997	2.3828389999999997	9
5.076219	3.674256	3.802489	3.701572	3.129518	1.662224	1
4.309904	2.503711	4.860811	3.39033	1.807054	3.3066009999999997	8
4.733117	2.8466570000000004	2.830049	2.47179	2.289955	2.281885	3
4.228671	3.8335	2.239053	2.557909	1.975412	1.7457340000000001	4
3.46727	3.36503	3.989582	4.466005	2.581884	2.705952	8
5.21697	3.117736	5.292103	4.547392	3.9911019999999997	1.587474	7
8.299847	5.1345089999999995	3.270106	4.045535	3.2125209999999997	2.741105	2
5.846494	2.926631	5.095768	4.889674	2.1551419999999997	2.937714	6
5.348955999999999	3.848229	5.883468000000001	4.531915	2.9807170000000003	3.365241	9
5.566245	4.867355	4.8862499999999995	4.184648	3.242035	2.448404	8
4.673584	3.347086	3.716756	3.2022009999999996	2.696253	2.058105	1
4.31931	3.2166669999999997	4.714275	3.1689979999999998	2.403188	2.178867	9
4.708645000000001	3.386093	3.9944300000000004	2.903549	1.6097329999999999	3.199534	1
6.389622	4.65835	3.389399	7.709061999999999	4.45664	7.307242	0
2.811779	3.5210619999999997	1.7654649999999998	2.8155919999999997	2.875702	2.283513	2
4.329549	2.766922	2.582566	2.004734	2.466288	2.138787	3
6.406772999999999	7.332961	3.6921370000000002	4.979101	4.709194	4.399157	5
3.62907	4.934172	3.356243	4.291626	2.205342	3.21301	2
5.294562	3.1641060000000003	5.919499999999999	4.069592	4.047208	2.104305	7
5.394356999999999	3.223745	5.477615	5.477812	1.5444	3.3454379999999997	7
6.123994	7.207641	5.384586	5.518203	3.4603200000000003	6.518817	7
5.153072	5.0455	4.065545	3.223954	2.793153	3.273314	6
5.674913	7.945249	5.482021	2.543957	3.151801	4.024084	8
5.390712000000001	2.38267	2.382253	5.47415	5.473875	2.443491	7
7.336304	9.9206	6.140945	1.969986	5.310805	5.663563	4
2.5091539999999997	3.057905	4.459319	4.104284	2.367234	2.130128	9
4.906533	5.422121000000001	4.175467	2.957564	2.704513	2.9535609999999997	9
4.63422	3.323019	3.674223	2.414513	1.8596110000000001	3.610729	1
3.831123	2.565363	1.7811240000000002	2.839377	2.894562	2.303738	2
6.011138	5.330075000000001	5.440932	4.01881	3.265665	3.157895	6
