names	peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	peak_7	peak_8	a
Aluminium	4.316191308325694	4.983908207685484	7.0483092984142335	8.264878860862126	8.632382616651388	9.967816415370965	10.862180408142505	11.144352820430706	4.08658
Aluminium	4.217965948324351	4.8704873366112	6.887907993471586	8.07679157661462	8.435931896648702	9.740974673222397	10.614985252790781	10.8907361501832	3.9935799999999997
Aluminium	4.394349121660096	5.074157072841367	7.175940444282577	8.414539710693475	8.788698243320193	10.14831414568273	11.05887332745463	11.34615533224055	4.1605799999999995
Aluminium	4.229584001657843	4.883902708458696	6.906880190830394	8.099038459697658	8.459168003315686	9.767805416917389	10.644223389445285	10.920733820857635	4.00458
Aluminium	4.380618694993242	5.058302542476144	7.153518756494895	8.388247939777157	8.761237389986483	10.116605084952285	11.024319165953852	11.310703539625306	4.14758
Aluminium	4.301404694992159	4.9668340980613985	7.024162865412115	8.236564646029167	8.602809389984317	9.933668196122794	10.82496823421859	11.10617396684506	4.072579999999999
Aluminium	4.299292321658796	4.964394939543673	7.020713374983241	8.232519758195888	8.598584643317592	9.928789879087342	10.819652209372316	11.100719844904253	4.07058
Aluminium	4.145089068323354	4.786336367749634	6.768900573675428	7.937242946366469	8.290178136646707	9.572672735499264	10.43158239559434	10.702568943225371	3.9245799999999997
Aluminium	4.376393948326517	5.053424225440692	7.146619775637147	8.380158164110599	8.752787896653034	10.10684845088138	11.013687116261305	11.299795295743694	4.14358
Aluminium	4.299292321658796	4.964394939543673	7.020713374983241	8.232519758195888	8.598584643317592	9.928789879087342	10.819652209372316	11.100719844904253	4.07058
Aluminium	4.419697601660443	5.103426975054085	7.217334329429066	8.463078364692834	8.839395203320885	10.206853950108167	11.122665625609915	11.411604795530229	4.1845799999999995
Aluminium	4.286618081658623	4.949759988437313	7.000016432409996	8.20825043119621	8.573236163317246	9.899519976874622	10.787756060294674	11.067995113259414	4.05858
Aluminium	4.414416668327037	5.09732907875977	7.208710603356881	8.452966145109633	8.828833336654075	10.194658157519536	11.10937556349423	11.397969490678213	4.17958
Aluminium	4.323584614992462	4.992445262497528	7.060382514915293	8.279035968278606	8.647169229984923	9.984890524995052	10.880786495104463	11.163442247223529	4.093579999999999
Aluminium	4.390124374993372	5.069278755805914	7.169041463424828	8.406449935026917	8.780248749986743	10.138557511611824	11.048241277762084	11.335247088358937	4.15658
Aluminium	4.301404694992159	4.9668340980613985	7.024162865412115	8.236564646029167	8.602809389984317	9.933668196122794	10.82496823421859	11.10617396684506	4.072579999999999
Aluminium	4.402798614993545	5.0839137069122735	7.189738405998074	8.430719262026596	8.80559722998709	10.167827413824543	11.080137426839727	11.367971820003776	4.1685799999999995
Aluminium	4.302460881658839	4.968053677320262	7.025887610626552	8.238587089945808	8.604921763317678	9.936107354640521	10.827626246641728	11.108901027815463	4.07358
Aluminium	4.149313814990078	4.791214684785087	6.775799554533177	7.945332722033028	8.298627629980157	9.582429369570171	10.442214445286886	10.713477187106985	3.9285799999999997
Aluminium	4.163044241656933	4.807069215150309	6.798221242320859	7.9716244929493465	8.326088483313866	9.614138430300615	10.476768606787665	10.748928979722228	3.9415799999999996
Aluminium	4.224303068324438	4.8778048121643796	6.898256464758209	8.088926240114459	8.448606136648875	9.755609624328756	10.630933327329602	10.907098516005618	3.99958
Aluminium	4.288730454991986	4.9521991469550395	7.0034659228388705	8.21229531902949	8.577460909983971	9.904398293910075	10.793072085140949	11.07344923520022	4.06058
Aluminium	4.257044854991552	4.915611769189141	6.951723566405758	8.151622001530294	8.514089709983104	9.831223538378278	10.713331712446843	10.99163740608812	4.03058
Aluminium	4.316191308325694	4.983908207685484	7.0483092984142335	8.264878860862126	8.632382616651388	9.967816415370965	10.862180408142505	11.144352820430706	4.08658
Aluminium	4.1324148283231805	4.771701416643275	6.748203631102184	7.91297361936679	8.264829656646361	9.543402833286546	10.399686246516698	10.669844211580532	3.9125799999999997
